p,q1,q2,q3,dipole,nmr
0.104,13.4169103,10.509682,5.70935846,31.2116,0.028472
0.105,13.5472277,10.6133446,5.75893353,31.5131,0.0287457
0.106,13.6775452,10.7170072,5.80852345,31.8146,0.0290195
0.107,13.8078626,10.8206697,5.85812775,32.1161,0.0292933
0.108,13.93818,10.9243323,5.90774597,32.4177,0.0295671
0.109,14.0684974,11.0279949,5.95737767,32.7193,0.0298408
0.11,14.1988149,11.1316575,6.00702244,33.0209,0.0301146
0.111,14.3291323,11.23532,6.05667986,33.3226,0.0303884
0.112,14.4594497,11.3389826,6.10634957,33.6242,0.0306621
0.113,14.5897671,11.4426452,6.15603118,33.9259,0.0309359
0.114,14.7200846,11.5463077,6.20572433,34.2276,0.0312097
0.115,14.850402,11.6499703,6.2554287,34.5293,0.0314834
0.116,14.9807194,11.7536329,6.30514395,34.8311,0.0317572
0.117,15.1110368,11.8572954,6.35486976,35.1329,0.032031
0.118,15.2413543,11.960958,6.40460583,35.4347,0.0323047
0.119,15.3716717,12.0646206,6.45435188,35.7365,0.0325785
0.12,15.5019891,12.1682831,6.50410761,36.0383,0.0328523
0.121,15.6323066,12.2719457,6.55387275,36.3402,0.033126
0.122,15.762624,12.3756083,6.60364706,36.6421,0.0333998
0.123,15.8929414,12.4792708,6.65343027,36.944,0.0336736
0.124,16.0232588,12.5829334,6.70322215,37.2459,0.0339474
0.125,16.1535763,12.686596,6.75302246,37.5478,0.0342211
0.126,16.2838937,12.7902585,6.80283097,37.8498,0.0344949
0.127,16.4142111,12.8939211,6.85264747,38.1518,0.0347687
0.128,16.5445285,12.9975837,6.90247176,38.4538,0.0350424
0.129,16.674846,13.1012462,6.95230362,38.7559,0.0353162
0.13,16.8051634,13.2049088,7.00214286,39.0579,0.03559
0.131,16.9354808,13.3085714,7.0519893,39.36,0.0358637
0.132,17.0657982,13.4122339,7.10184275,39.6621,0.0361375
0.133,17.1961157,13.5158965,7.15170304,39.9642,0.0364113
0.134,17.3264331,13.6195591,7.20156999,40.2663,0.036685
0.135,17.4567505,13.7232216,7.25144344,40.5685,0.0369588
0.136,17.587068,13.8268842,7.30132323,40.8707,0.0372326
0.137,17.7173854,13.9305468,7.35120921,41.1729,0.0375063
0.138,17.8477028,14.0342093,7.40110123,41.4751,0.0377801
0.139,17.9780202,14.1378719,7.45099914,41.7774,0.0380539
0.14,18.1083377,14.2415345,7.50090281,42.0796,0.0383276
0.141,18.2386551,14.3451971,7.5508121,42.3819,0.0386014
0.142,18.3689725,14.4488596,7.60072687,42.6842,0.0388752
0.143,18.4992899,14.5525222,7.650647,42.9865,0.039149
0.144,18.6296074,14.6561848,7.70057237,43.2889,0.0394227
0.145,18.7599248,14.7598473,7.75050286,43.5912,0.0396965
0.146,18.8902422,14.8635099,7.80043835,43.8936,0.0399703
0.147,19.0205596,14.9671725,7.85037873,44.196,0.040244
0.148,19.1508771,15.070835,7.90032388,44.4985,0.0405178
0.149,19.2811945,15.1744976,7.95027372,44.8009,0.0407916
0.15,19.4115119,15.2781602,8.00022812,45.1034,0.0410653
0.151,19.5418294,15.3818227,8.05018699,45.4058,0.0413391
0.152,19.6721468,15.4854853,8.10015024,45.7084,0.0416129
0.153,19.8024642,15.5891479,8.15011778,46.0109,0.0418866
0.154,19.9327816,15.6928104,8.2000895,46.3134,0.0421604
0.155,20.0630991,15.796473,8.25006532,46.616,0.0424342
0.156,20.1934165,15.9001356,8.30004515,46.9186,0.0427079
0.157,20.3237339,16.0037981,8.35002891,47.2212,0.0429817
0.158,20.4540513,16.1074607,8.40001653,47.5238,0.0432555
0.159,20.5843688,16.2111233,8.45000791,47.8264,0.0435293
0.16,20.7146862,16.3147858,8.50000298,48.1291,0.043803
0.161,20.8450036,16.4184484,8.55000167,48.4317,0.0440768
0.162,20.975321,16.522111,8.60000391,48.7344,0.0443506
0.163,21.1056385,16.6257735,8.65000961,49.0371,0.0446243
0.164,21.2359559,16.7294361,8.70001872,49.3399,0.0448981
0.165,21.3662733,16.8330987,8.75003117,49.6426,0.0451719
0.166,21.4965908,16.9367612,8.80004689,49.9454,0.0454456
0.167,21.6269082,17.0404238,8.85006581,50.2482,0.0457194
0.168,21.7572256,17.1440864,8.90008787,50.551,0.0459932
0.169,21.887543,17.247749,8.95011302,50.8538,0.0462669
0.17,22.0178605,17.3514115,9.0001412,51.1566,0.0465407
0.171,22.1481779,17.4550741,9.05017234,51.4595,0.0468145
0.172,22.2784953,17.5587367,9.10020639,51.7624,0.0470882
0.173,22.4088127,17.6623992,9.15024329,52.0653,0.047362
0.174,22.5391302,17.7660618,9.200283,52.3682,0.0476358
0.175,22.6694476,17.8697244,9.25032546,52.6711,0.0479095
0.176,22.799765,17.9733869,9.30037062,52.974,0.0481833
0.177,22.9300824,18.0770495,9.35041843,53.277,0.0484571
0.178,23.0603999,18.1807121,9.40046884,53.58,0.0487309
0.179,23.1907173,18.2843746,9.4505218,53.883,0.0490046
0.18,23.3210347,18.3880372,9.50057728,54.186,0.0492784
0.181,23.4513522,18.4916998,9.55063521,54.489,0.0495522
0.182,23.5816696,18.5953623,9.60069557,54.7921,0.0498259
0.183,23.711987,18.6990249,9.6507583,55.0952,0.0500997
0.184,23.8423044,18.8026875,9.70082337,55.3982,0.0503735
0.185,23.9726219,18.90635,9.75089073,55.7013,0.0506472
0.186,24.1029393,19.0100126,9.80096034,56.0045,0.050921
0.187,24.2332567,19.1136752,9.85103217,56.3076,0.0511948
0.188,24.3635741,19.2173377,9.90110618,56.6107,0.0514685
0.189,24.4938916,19.3210003,9.95118233,56.9139,0.0517423
0.19,24.624209,19.4246629,10.0012606,57.2171,0.0520161
0.191,24.7545264,19.5283254,10.0513409,57.5203,0.0522898
0.192,24.8848438,19.631988,10.1014232,57.8235,0.0525636
0.193,25.0151613,19.7356506,10.1515076,58.1268,0.0528374
0.194,25.1454787,19.8393131,10.2015939,58.43,0.0531111
0.195,25.2757961,19.9429757,10.2516822,58.7333,0.0533849
0.196,25.4061136,20.0466383,10.3017723,59.0366,0.0536587
0.197,25.536431,20.1503008,10.3518643,59.3399,0.0539325
