Run,Q1_set,Q2_set,Q3_set,D_set,NMR_set,Collimator,Target,Raster,TFE,Angle
1687,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5974,58.985
1688,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5974,58.985
1689,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5972,58.985
1690,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5972,58.985
1691,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5971,58.985
1692,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5971,58.985
1704,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5974,58.985
1705,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5973,58.985
1706,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5972,58.985
1707,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5972,58.985
1708,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5973,58.985
1709,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5978,58.985
1710,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5978,58.985
1711,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5978,58.985
1712,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5977,58.985
1713,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5977,58.985
1714,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5972,58.985
1715,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5963,58.985
1716,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5957,58.985
1718,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5971,58.985
1733,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5958,58.985
1746,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5959,58.985
1747,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5959,58.985
1748,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5971,58.985
1749,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5971,58.985
1750,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5971,58.985
1751,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.596,58.985
1752,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.596,58.985
1753,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5962,58.985
1754,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.596,58.985
1756,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5973,58.985
1757,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5976,58.985
1758,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5976,58.985
1759,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5976,58.985
1761,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5976,58.985
