#! Run[i,0]/   hQ1_set[f,1]/   hQ2_set[f,2]/   hQ3_set[f,3]/    hD_set[f,4]/    NMR_true[f,5]/  sHB_set[f,6]/    sQ1_set[f,7]/   sQ2_set[f,8]/   sQ3_set[f,9]/    sD_set[f,10]/   hms_Collimator[s,11]/  shms_Collimator[s,12]/  Target[s,13]/    Target_Mass[f,14]/    Raster[s,15]/   TFE[f,16]/    hms_Angle[f,17]/    shms_Angle[f,18]/
3253    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    Al_Dummy_10cm    26.98    2x2    10.5987	      37.29    12.20
3254    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    Al_Dummy_10cm    26.98    2x2    10.598	      37.29    12.20
3255    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    Al_Dummy_10cm    26.98    2x2    10.598	      37.29    12.20
3256    382.755    304.304    148.097    900.6    0.804386    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    Al_Dummy_10cm    26.98    2x2    10.598	      37.29    12.20
3257    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    Al_Dummy_10cm    26.98    2x2    10.598	      37.29    12.20
3258    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    Al_Dummy_10cm    26.98    2x2    10.5978	      37.29    12.20
3259    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5976		      37.29    12.20
3260    382.755    304.304    148.097    900.6    0.804384    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    -nan			      37.29    12.20
3261    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    -nan			      37.29    12.20
3263    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    -nan			      37.29    12.20
3264    370.487    294.545    143.366    871.53    0.778537    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    -nan			      38.895   12.20
3266    370.487    294.545    143.366    871.53    0.778537    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      38.895   12.20
3267    370.487    294.545    143.366    871.53    0.778537    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      38.895   12.20
3268    370.487    294.545    143.366    871.53    0.778537    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      38.895   12.20
3269    285.826    227.201    110.714    671.3    0.600621    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5975		      54.945   12.20
3270    285.826    227.201    110.714    671.3    0.600612    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5977		      54.945   12.20
3271    285.826    227.201    110.714    672.535    0.600744    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5978		      54.945   12.20
3272    285.826    227.201    110.714    672.535    0.600744    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5976		      54.945   12.20
3273    285.826    227.201    110.714    672.535    0.600744    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5975		      54.945   12.20
3274    285.826    227.201    110.714    672.535    0.600744    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5975		      54.945   12.20
3275    285.826    227.201    110.714    672.535    0.600743    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5975		      54.945   12.20
3276    285.826    227.201    110.714    672.535    0.600743    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5971		      54.945   12.20
3277    285.826    227.201    110.714    672.535    0.600743    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5976		      54.945   12.20
3278    285.826    227.201    110.714    672.535    0.600743    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5977		      54.945   12.20
3279    285.826    227.201    110.714    672.535    0.600743    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5977		      54.945   12.20
3280    285.826    227.201    110.714    672.535    0.600743    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5978		      54.945   12.20
3281    285.826    227.201    110.714    672.535    0.600743    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      54.945   12.20
3282    285.826    227.201    110.714    672.535    0.600742    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      54.945   12.20
3283    285.826    227.201    110.714    672.535    0.600743    2941.44    1811.5    3016.17    1984.6    2732.87    Large_Coll    Centered_Sieve    Optics-1    12.0107    2x2    10.5973    54.945   8.938
3284    285.826    227.201    110.714    672.535    0.600743    2941.44    1811.5    3016.17    1984.6    2732.87    Large_Coll    Centered_Sieve    Optics-1    12.0107    2x2    10.5973    54.945   8.938
3285    285.826    227.201    110.714    672.535    0.600743    2875.61    1811.5    3016.17    1984.6    2732.87    Large_Coll    Centered_Sieve    Optics-1    12.0107    2x2    10.5971    54.945   8.938
3286    482.785    404.341    344.57    881.591    0.757214    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Centered_Sieve    Optics-1    12.0107    2x2    10.5973    37.338   8.938
3287    382.737    304.289    148.09    901.899    0.804406    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5973 	   	      37.338   12.06
3288    382.737    304.289    148.09    901.75    0.804333    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5973		      37.338   12.194
3289    370.487    294.545    143.366    872.6    0.778546    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      38.896   12.194
3290    285.78    227.164    110.696    671.78    0.598488    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      54.992   12.194	      
3291    285.78    227.164    110.696    672.352    0.600654    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      54.992   12.194
3292    285.78    227.164    110.696    672.352    0.600656    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      54.992   12.194
3293    285.78    227.164    110.696    672.352    0.600656    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      54.992   12.194
3294    285.78    227.164    110.696    672.352    0.600656    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      54.992   12.194
3295    285.78    227.164    110.696    672.352    0.600657    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      54.992   12.194
3296    285.78    227.164    110.696    672.352    0.600657    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      54.992   12.194
3297    285.78    227.164    110.696    672.352    0.600657    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      54.992   12.194
3298    285.78    227.164    110.696    672.352    0.600658    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      54.992   12.194
3299    285.78    227.164    110.696    672.352    0.600658    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      54.992   12.194
3300    285.78    227.164    110.696    672.352    0.600658    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      54.992   12.194
3301    285.78    227.164    110.696    672.42    0.600654    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      54.992   12.194
3302    285.78    227.164    110.696    672.42    0.600654    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5975		      54.992   12.194
3303    285.78    227.164    110.696    672.42    0.600654    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      54.992   12.194
3304    285.78    227.164    110.696    672.42    0.600655    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5975		      54.992   12.194
3305    285.78    227.164    110.696    672.42    0.600655    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      54.992   12.194
3306    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5978		      58.391   12.194
3307    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5977		      58.391   12.194
3308    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5978		      58.391   12.194
3309    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5977		      58.391   12.194
3310    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5976		      58.391   12.194
3311    272.361    216.49    105.521    640.654    0.572459    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5977		      58.391   12.194
3312    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5976		      58.391   12.194
3313    272.361    216.49    105.521    640.654    0.572459    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5976		      58.391   12.194
3314    272.361    216.49    105.521    640.654    0.572459    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5975		      58.391   12.194
3315    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      58.391   12.194
3316    272.361    216.49    105.521    640.654    0.572459    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      58.391   12.194
3317    272.361    216.49    105.521    640.654    0.572459    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5969		      58.391   12.194
3318    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5969		      58.391   12.194
3320    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5967		      58.391   12.194
3321    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.597		      58.391   12.194
3322    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      58.391   12.194
3323    272.361    216.49    105.521    640.654    0.572461   2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      58.391   12.194
3324    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5975		      58.391   12.194
3325    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5977		      58.391   12.194
3327    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5977		      58.391   12.194
3328    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5975		      58.391   12.194
3329    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      58.391   12.194
3330    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      58.391   12.194
3331    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      58.391   12.194
3332    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      58.391   12.194
3333    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      58.391   12.194
3334    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      58.391   12.194
3335    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      58.391   12.194
3336    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      58.391   12.194
3337    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      58.391   12.194
3338    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      58.391   12.194
3339    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      58.391   12.194
3340    272.361    216.49    105.521    640.654    0.57246    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      58.391   12.194
3341    285.78    227.164    110.696    672.1    0.600647    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      55.000   12.194
3342    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      55.000   12.194
3343    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5974		      55.000   12.194
3344    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5971		      55.000   12.194
3345    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5971		      55.000   12.194
3346    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      55.000   12.194
3347    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      55.000   12.194
3348    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      55.000   12.194
3349    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      55.000   12.194
3350    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5971		      55.000   12.194
3351    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      55.000   12.194
3352    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      55.000   12.194
3353    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      55.000   12.194
3354    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      55.000   12.194	       
3355    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      55.000   12.194
3356    285.78    227.164    110.696    672.1    0.600649    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      55.000   12.194
3357    272.358    216.487    105.519    640.63    0.572453    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      58.394   12.194
3358    272.358    216.487    105.519    640.63    0.572453    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      58.394   12.194
3359    272.358    216.487    105.519    640.63    0.572454    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      58.394   12.194
3360    272.358    216.487    105.519    640.63    0.572454    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      58.394   12.194
3361    272.358    216.487    105.519    640.63    0.572454    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      58.394   12.194
3362    272.358    216.487    105.519    640.63    0.572454    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5973		      58.394   12.194
3363    272.358    216.487    105.519    640.63    0.572454    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      58.394   12.194
3364    272.358    216.487    105.519    640.63    0.572454    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      58.394   12.194
3365    272.358    216.487    105.519    640.63    0.572455    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      58.394   12.194
3366    272.358    216.487    105.519    640.63    0.572455    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      58.394   12.194
3367    272.358    216.487    105.519    640.63    0.572455    2941.44    1795.68    3016.17    1984.6    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5972		      58.394   12.194
3371    453.368    360.475    175.332    1069.2    0.952715    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5987		      33.545   13.93
3372    436.327    359.265    175.332    1069.2    0.952715    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5985		      33.545   9.928
3373    300.897    239.189    116.526    707.169    0.826172    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5987		      42.900   9.928
3374    300.897    239.189    116.526    707.25    0.632393    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5986		      42.900   9.928
3375    246.164    195.651    95.417    577.936    0.517538    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5985		      42.900   8.495
3376    246.164    195.651    95.417    578.01    0.517386    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5982		      47.605   8.495
3377    246.164    195.651    95.417    578.088    0.517404    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5988		      47.605   8.495
3379    246.164    195.651    95.417    578.09    0.517379    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Centered_Sieve    LH2    1.00794    2x2    10.5977	      47.605   8.495
3380    272.358    216.487    105.519    639.97    0.572458    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5977   		      58.391   12.21
3381    272.358    216.487    105.519    639.97    0.572459    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5978		      58.391   12.21
3382    272.358    216.487    105.519    639.97    0.572459    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5978		      58.391   12.21
3384    272.358    216.487    105.519    639.97    0.572459    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5977		      58.391   12.21
3385    272.358    216.487    105.519    639.97    0.572459    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5977		      58.391   12.21
3386    272.358    216.487    105.519    639.97    0.572459    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5978		      58.391   12.21
3387    272.358    216.487    105.519    639.97    0.572459    2941.44    1795.68    3016.17    1984.61    2732.87    Large_Coll    Coll    LD2    2.0141    2x2    10.5978		      58.391   12.21
