p,HB,Q1,Q2,Q3,D
4.095,1337.82,845.209,1419.68,934.136,1285.18
4.096,1338.15,845.415,1420.03,934.364,1285.49
4.097,1338.49,845.622,1420.37,934.592,1285.8
4.098,1338.82,845.828,1420.72,934.82,1286.12
4.099,1339.15,846.035,1421.07,935.048,1286.43
4.1,1339.48,846.241,1421.41,935.276,1286.75
4.101,1339.81,846.447,1421.76,935.505,1287.06
4.102,1340.15,846.654,1422.11,935.733,1287.37
4.103,1340.48,846.86,1422.45,935.961,1287.69
4.104,1340.81,847.067,1422.8,936.189,1288.0
4.105,1341.14,847.273,1423.15,936.417,1288.32
4.106,1341.47,847.479,1423.49,936.645,1288.63
4.107,1341.8,847.686,1423.84,936.873,1288.95
4.108,1342.14,847.892,1424.19,937.101,1289.26
4.109,1342.47,848.099,1424.53,937.33,1289.57
4.11,1342.8,848.305,1424.88,937.558,1289.89
4.111,1343.13,848.511,1425.23,937.786,1290.2
4.112,1343.46,848.718,1425.57,938.014,1290.52
4.113,1343.8,848.924,1425.92,938.242,1290.83
4.114,1344.13,849.131,1426.27,938.47,1291.14
4.115,1344.46,849.337,1426.61,938.698,1291.46
4.116,1344.79,849.543,1426.96,938.926,1291.77
4.117,1345.12,849.75,1427.31,939.154,1292.09
4.118,1345.46,849.956,1427.65,939.383,1292.4
4.119,1345.79,850.163,1428.0,939.611,1292.72
4.12,1346.12,850.369,1428.35,939.839,1293.03
4.121,1346.45,850.575,1428.69,940.067,1293.34
4.122,1346.78,850.782,1429.04,940.295,1293.66
4.123,1347.11,850.988,1429.39,940.523,1293.97
4.124,1347.45,851.195,1429.73,940.751,1294.29
4.125,1347.78,851.401,1430.08,940.979,1294.6
4.126,1348.11,851.607,1430.43,941.207,1294.91
4.127,1348.44,851.814,1430.77,941.436,1295.23
4.128,1348.77,852.02,1431.12,941.664,1295.54
4.129,1349.11,852.227,1431.47,941.892,1295.86
4.13,1349.44,852.433,1431.81,942.12,1296.17
4.131,1349.77,852.639,1432.16,942.348,1296.49
4.132,1350.1,852.846,1432.51,942.576,1296.8
4.133,1350.43,853.052,1432.85,942.804,1297.11
4.134,1350.77,853.259,1433.2,943.032,1297.43
4.135,1351.1,853.465,1433.55,943.261,1297.74
4.136,1351.43,853.671,1433.89,943.489,1298.06
4.137,1351.76,853.878,1434.24,943.717,1298.37
4.138,1352.09,854.084,1434.59,943.945,1298.68
4.139,1352.43,854.291,1434.93,944.173,1299.0
4.14,1352.76,854.497,1435.28,944.401,1299.31
4.141,1353.09,854.703,1435.63,944.629,1299.63
4.142,1353.42,854.91,1435.97,944.857,1299.94
4.143,1353.75,855.116,1436.32,945.085,1300.26
4.144,1354.09,855.323,1436.67,945.314,1300.57
4.145,1354.42,855.529,1437.01,945.542,1300.88
4.146,1354.75,855.735,1437.36,945.77,1301.2
4.147,1355.08,855.942,1437.71,945.998,1301.51
4.148,1355.41,856.148,1438.05,946.226,1301.83
4.149,1355.75,856.355,1438.4,946.454,1302.14
4.15,1356.08,856.561,1438.75,946.682,1302.45
4.151,1356.41,856.767,1439.09,946.91,1302.77
4.152,1356.74,856.974,1439.44,947.139,1303.08
4.153,1357.07,857.18,1439.79,947.367,1303.4
4.154,1357.41,857.387,1440.13,947.595,1303.71
4.155,1357.74,857.593,1440.48,947.823,1304.02
4.156,1358.07,857.799,1440.83,948.051,1304.34
4.157,1358.4,858.006,1441.17,948.279,1304.65
4.158,1358.74,858.212,1441.52,948.507,1304.97
4.159,1359.07,858.419,1441.87,948.735,1305.28
4.16,1359.4,858.625,1442.21,948.963,1305.6
4.161,1359.73,858.831,1442.56,949.192,1305.91
4.162,1360.06,859.038,1442.91,949.42,1306.22
4.163,1360.4,859.244,1443.25,949.648,1306.54
4.164,1360.73,859.451,1443.6,949.876,1306.85
4.165,1361.06,859.657,1443.95,950.104,1307.17
4.166,1361.39,859.863,1444.29,950.332,1307.48
4.167,1361.72,860.07,1444.64,950.56,1307.79
4.168,1362.06,860.276,1444.99,950.788,1308.11
4.169,1362.39,860.483,1445.33,951.016,1308.42
4.17,1362.72,860.689,1445.68,951.245,1308.74
4.171,1363.05,860.895,1446.03,951.473,1309.05
4.172,1363.39,861.102,1446.37,951.701,1309.37
4.173,1363.72,861.308,1446.72,951.929,1309.68
4.174,1364.05,861.515,1447.07,952.157,1309.99
4.175,1364.38,861.721,1447.41,952.385,1310.31
4.176,1364.71,861.927,1447.76,952.613,1310.62
4.177,1365.05,862.134,1448.11,952.841,1310.94
4.178,1365.38,862.34,1448.45,953.07,1311.25
4.179,1365.71,862.547,1448.8,953.298,1311.56
4.18,1366.04,862.753,1449.15,953.526,1311.88
4.181,1366.38,862.959,1449.49,953.754,1312.19
4.182,1366.71,863.166,1449.84,953.982,1312.51
4.183,1367.04,863.372,1450.19,954.21,1312.82
4.184,1367.37,863.579,1450.53,954.438,1313.14
4.185,1367.7,863.785,1450.88,954.666,1313.45
4.186,1368.04,863.991,1451.23,954.894,1313.76
4.187,1368.37,864.198,1451.57,955.123,1314.08
4.188,1368.7,864.404,1451.92,955.351,1314.39
4.189,1369.03,864.611,1452.27,955.579,1314.71
4.19,1369.37,864.817,1452.61,955.807,1315.02
4.191,1369.7,865.023,1452.96,956.035,1315.33
4.192,1370.03,865.23,1453.31,956.263,1315.65
4.193,1370.36,865.436,1453.65,956.491,1315.96
4.194,1370.7,865.643,1454.0,956.719,1316.28
4.195,1371.03,865.849,1454.35,956.948,1316.59
4.196,1371.36,866.055,1454.69,957.176,1316.91
4.197,1371.69,866.262,1455.04,957.404,1317.22
4.198,1372.02,866.468,1455.39,957.632,1317.53
4.199,1372.36,866.675,1455.73,957.86,1317.85
4.2,1372.69,866.881,1456.08,958.088,1318.16
4.201,1373.02,867.087,1456.43,958.316,1318.48
4.202,1373.35,867.294,1456.77,958.544,1318.79
4.203,1373.69,867.5,1457.12,958.772,1319.1
4.204,1374.02,867.707,1457.47,959.001,1319.42
4.205,1374.35,867.913,1457.81,959.229,1319.73
4.206,1374.68,868.119,1458.16,959.457,1320.05
4.207,1375.02,868.326,1458.51,959.685,1320.36
4.208,1375.35,868.532,1458.85,959.913,1320.68
4.209,1375.68,868.739,1459.2,960.141,1320.99
4.21,1376.01,868.945,1459.55,960.369,1321.3
4.211,1376.35,869.151,1459.89,960.597,1321.62
4.212,1376.68,869.358,1460.24,960.825,1321.93
4.213,1377.01,869.564,1460.59,961.054,1322.25
4.214,1377.34,869.771,1460.93,961.282,1322.56
4.215,1377.67,869.977,1461.28,961.51,1322.87
4.216,1378.01,870.183,1461.63,961.738,1323.19
4.217,1378.34,870.39,1461.97,961.966,1323.5
4.218,1378.67,870.596,1462.32,962.194,1323.82
4.219,1379.0,870.803,1462.67,962.422,1324.13
4.22,1379.34,871.009,1463.01,962.65,1324.45
4.221,1379.67,871.215,1463.36,962.879,1324.76
4.222,1380.0,871.422,1463.71,963.107,1325.07
4.223,1380.33,871.628,1464.06,963.335,1325.39
4.224,1380.67,871.835,1464.4,963.563,1325.7
4.225,1381.0,872.041,1464.75,963.791,1326.02
4.226,1381.33,872.247,1465.1,964.019,1326.33
4.227,1381.66,872.454,1465.44,964.247,1326.64
4.228,1382.0,872.66,1465.79,964.475,1326.96
4.229,1382.33,872.867,1466.14,964.703,1327.27
4.23,1382.66,873.073,1466.48,964.932,1327.59
4.231,1382.99,873.279,1466.83,965.16,1327.9
4.232,1383.33,873.486,1467.18,965.388,1328.22
4.233,1383.66,873.692,1467.52,965.616,1328.53
4.234,1383.99,873.899,1467.87,965.844,1328.84
4.235,1384.32,874.105,1468.22,966.072,1329.16
4.236,1384.66,874.311,1468.56,966.3,1329.47
4.237,1384.99,874.518,1468.91,966.528,1329.79
4.238,1385.32,874.724,1469.26,966.757,1330.1
4.239,1385.66,874.931,1469.6,966.985,1330.41
4.24,1385.99,875.137,1469.95,967.213,1330.73
4.241,1386.32,875.343,1470.3,967.441,1331.04
4.242,1386.65,875.55,1470.64,967.669,1331.36
4.243,1386.99,875.756,1470.99,967.897,1331.67
4.244,1387.32,875.963,1471.34,968.125,1331.99
4.245,1387.65,876.169,1471.68,968.353,1332.3
4.246,1387.98,876.375,1472.03,968.581,1332.61
4.247,1388.32,876.582,1472.38,968.81,1332.93
4.248,1388.65,876.788,1472.72,969.038,1333.24
4.249,1388.98,876.995,1473.07,969.266,1333.56
4.25,1389.31,877.201,1473.42,969.494,1333.87
4.251,1389.65,877.407,1473.76,969.722,1334.18
4.252,1389.98,877.614,1474.11,969.95,1334.5
4.253,1390.31,877.82,1474.46,970.178,1334.81
4.254,1390.64,878.027,1474.8,970.406,1335.13
4.255,1390.98,878.233,1475.15,970.634,1335.44
4.256,1391.31,878.439,1475.5,970.863,1335.76
4.257,1391.64,878.646,1475.84,971.091,1336.07
4.258,1391.97,878.852,1476.19,971.319,1336.38
4.259,1392.31,879.059,1476.54,971.547,1336.7
4.26,1392.64,879.265,1476.88,971.775,1337.01
4.261,1392.97,879.471,1477.23,972.003,1337.33
4.262,1393.31,879.678,1477.58,972.231,1337.64
4.263,1393.64,879.884,1477.92,972.459,1337.95
4.264,1393.97,880.091,1478.27,972.688,1338.27
4.265,1394.3,880.297,1478.62,972.916,1338.58
4.266,1394.64,880.503,1478.96,973.144,1338.9
4.267,1394.97,880.71,1479.31,973.372,1339.21
4.268,1395.3,880.916,1479.66,973.6,1339.53
4.269,1395.63,881.123,1480.0,973.828,1339.84
4.27,1395.97,881.329,1480.35,974.056,1340.15
4.271,1396.3,881.535,1480.7,974.284,1340.47
4.272,1396.63,881.742,1481.04,974.512,1340.78
4.273,1396.97,881.948,1481.39,974.741,1341.1
4.274,1397.3,882.155,1481.74,974.969,1341.41
4.275,1397.63,882.361,1482.08,975.197,1341.72
4.276,1397.96,882.567,1482.43,975.425,1342.04
4.277,1398.3,882.774,1482.78,975.653,1342.35
4.278,1398.63,882.98,1483.12,975.881,1342.67
4.279,1398.96,883.187,1483.47,976.109,1342.98
4.28,1399.3,883.393,1483.82,976.337,1343.3
4.281,1399.63,883.599,1484.16,976.566,1343.61
4.282,1399.96,883.806,1484.51,976.794,1343.92
4.283,1400.29,884.012,1484.86,977.022,1344.24
4.284,1400.63,884.219,1485.2,977.25,1344.55
4.285,1400.96,884.425,1485.55,977.478,1344.87
4.286,1401.29,884.631,1485.9,977.706,1345.18
4.287,1401.63,884.838,1486.24,977.934,1345.49
4.288,1401.96,885.044,1486.59,978.162,1345.81
4.289,1402.29,885.251,1486.94,978.39,1346.12
4.29,1402.62,885.457,1487.28,978.619,1346.44
4.291,1402.96,885.663,1487.63,978.847,1346.75
4.292,1403.29,885.87,1487.98,979.075,1347.07
4.293,1403.62,886.076,1488.32,979.303,1347.38
4.294,1403.96,886.283,1488.67,979.531,1347.69
4.295,1404.29,886.489,1489.02,979.759,1348.01
4.296,1404.62,886.695,1489.36,979.987,1348.32
4.297,1404.95,886.902,1489.71,980.215,1348.64
4.298,1405.29,887.108,1490.06,980.443,1348.95
4.299,1405.62,887.315,1490.4,980.672,1349.26
4.3,1405.95,887.521,1490.75,980.9,1349.58
4.301,1406.29,887.727,1491.1,981.128,1349.89
4.302,1406.62,887.934,1491.44,981.356,1350.21
4.303,1406.95,888.14,1491.79,981.584,1350.52
4.304,1407.28,888.347,1492.14,981.812,1350.84
4.305,1407.62,888.553,1492.48,982.04,1351.15
4.306,1407.95,888.759,1492.83,982.268,1351.46
4.307,1408.28,888.966,1493.18,982.497,1351.78
4.308,1408.62,889.172,1493.52,982.725,1352.09
4.309,1408.95,889.379,1493.87,982.953,1352.41
4.31,1409.28,889.585,1494.22,983.181,1352.72
4.311,1409.62,889.791,1494.56,983.409,1353.03
4.312,1409.95,889.998,1494.91,983.637,1353.35
4.313,1410.28,890.204,1495.26,983.865,1353.66
4.314,1410.61,890.411,1495.6,984.093,1353.98
4.315,1410.95,890.617,1495.95,984.321,1354.29
4.316,1411.28,890.823,1496.3,984.55,1354.61
4.317,1411.61,891.03,1496.64,984.778,1354.92
4.318,1411.95,891.236,1496.99,985.006,1355.23
4.319,1412.28,891.443,1497.34,985.234,1355.55
4.32,1412.61,891.649,1497.68,985.462,1355.86
4.321,1412.95,891.855,1498.03,985.69,1356.18
4.322,1413.28,892.062,1498.38,985.918,1356.49
4.323,1413.61,892.268,1498.72,986.146,1356.8
4.324,1413.94,892.475,1499.07,986.375,1357.12
4.325,1414.28,892.681,1499.42,986.603,1357.43
4.326,1414.61,892.887,1499.76,986.831,1357.75
4.327,1414.94,893.094,1500.11,987.059,1358.06
4.328,1415.28,893.3,1500.46,987.287,1358.38
4.329,1415.61,893.507,1500.8,987.515,1358.69
4.33,1415.94,893.713,1501.15,987.743,1359.0
4.331,1416.28,893.919,1501.5,987.971,1359.32
4.332,1416.61,894.126,1501.84,988.199,1359.63
4.333,1416.94,894.332,1502.19,988.428,1359.95
4.334,1417.28,894.539,1502.54,988.656,1360.26
4.335,1417.61,894.745,1502.88,988.884,1360.57
4.336,1417.94,894.951,1503.23,989.112,1360.89
4.337,1418.27,895.158,1503.58,989.34,1361.2
4.338,1418.61,895.364,1503.92,989.568,1361.52
4.339,1418.94,895.571,1504.27,989.796,1361.83
4.34,1419.27,895.777,1504.62,990.024,1362.15
4.341,1419.61,895.983,1504.96,990.252,1362.46
4.342,1419.94,896.19,1505.31,990.481,1362.77
4.343,1420.27,896.396,1505.66,990.709,1363.09
4.344,1420.61,896.603,1506.0,990.937,1363.4
4.345,1420.94,896.809,1506.35,991.165,1363.72
4.346,1421.27,897.015,1506.7,991.393,1364.03
4.347,1421.61,897.222,1507.04,991.621,1364.34
4.348,1421.94,897.428,1507.39,991.849,1364.66
4.349,1422.27,897.635,1507.74,992.077,1364.97
4.35,1422.61,897.841,1508.08,992.306,1365.29
4.351,1422.94,898.047,1508.43,992.534,1365.6
4.352,1423.27,898.254,1508.78,992.762,1365.92
4.353,1423.61,898.46,1509.12,992.99,1366.23
4.354,1423.94,898.667,1509.47,993.218,1366.54
4.355,1424.27,898.873,1509.82,993.446,1366.86
4.356,1424.61,899.079,1510.16,993.674,1367.17
4.357,1424.94,899.286,1510.51,993.902,1367.49
4.358,1425.27,899.492,1510.86,994.13,1367.8
4.359,1425.61,899.699,1511.2,994.359,1368.11
4.36,1425.94,899.905,1511.55,994.587,1368.43
4.361,1426.27,900.111,1511.9,994.815,1368.74
4.362,1426.61,900.318,1512.24,995.043,1369.06
4.363,1426.94,900.524,1512.59,995.271,1369.37
4.364,1427.27,900.731,1512.94,995.499,1369.69
4.365,1427.6,900.937,1513.28,995.727,1370.0
4.366,1427.94,901.143,1513.63,995.955,1370.31
4.367,1428.27,901.35,1513.98,996.184,1370.63
4.368,1428.6,901.556,1514.32,996.412,1370.94
4.369,1428.94,901.763,1514.67,996.64,1371.26
4.37,1429.27,901.969,1515.02,996.868,1371.57
4.371,1429.6,902.175,1515.36,997.096,1371.88
4.372,1429.94,902.382,1515.71,997.324,1372.2
4.373,1430.27,902.588,1516.06,997.552,1372.51
4.374,1430.6,902.795,1516.4,997.78,1372.83
4.375,1430.94,903.001,1516.75,998.008,1373.14
4.376,1431.27,903.207,1517.1,998.237,1373.46
4.377,1431.61,903.414,1517.44,998.465,1373.77
4.378,1431.94,903.62,1517.79,998.693,1374.08
4.379,1432.27,903.827,1518.14,998.921,1374.4
4.38,1432.61,904.033,1518.48,999.149,1374.71
4.381,1432.94,904.239,1518.83,999.377,1375.03
4.382,1433.27,904.446,1519.18,999.605,1375.34
4.383,1433.61,904.652,1519.52,999.833,1375.65
4.384,1433.94,904.859,1519.87,1000.06,1375.97
4.385,1434.27,905.065,1520.22,1000.29,1376.28
4.386,1434.61,905.271,1520.56,1000.52,1376.6
4.387,1434.94,905.478,1520.91,1000.75,1376.91
4.388,1435.27,905.684,1521.26,1000.97,1377.23
4.389,1435.61,905.891,1521.6,1001.2,1377.54
4.39,1435.94,906.097,1521.95,1001.43,1377.85
4.391,1436.27,906.303,1522.3,1001.66,1378.17
4.392,1436.61,906.51,1522.64,1001.89,1378.48
4.393,1436.94,906.716,1522.99,1002.11,1378.8
4.394,1437.27,906.923,1523.34,1002.34,1379.11
4.395,1437.61,907.129,1523.69,1002.57,1379.42
4.396,1437.94,907.335,1524.03,1002.8,1379.74
4.397,1438.27,907.542,1524.38,1003.03,1380.05
4.398,1438.61,907.748,1524.73,1003.26,1380.37
4.399,1438.94,907.955,1525.07,1003.48,1380.68
4.4,1439.27,908.161,1525.42,1003.71,1381.0
4.401,1439.61,908.367,1525.77,1003.94,1381.31
4.402,1439.94,908.574,1526.11,1004.17,1381.62
4.403,1440.27,908.78,1526.46,1004.4,1381.94
4.404,1440.61,908.987,1526.81,1004.62,1382.25
4.405,1440.94,909.193,1527.15,1004.85,1382.57
4.406,1441.28,909.399,1527.5,1005.08,1382.88
4.407,1441.61,909.606,1527.85,1005.31,1383.19
4.408,1441.94,909.812,1528.19,1005.54,1383.51
4.409,1442.28,910.019,1528.54,1005.76,1383.82
4.41,1442.61,910.225,1528.89,1005.99,1384.14
4.411,1442.94,910.431,1529.23,1006.22,1384.45
4.412,1443.28,910.638,1529.58,1006.45,1384.77
4.413,1443.61,910.844,1529.93,1006.68,1385.08
4.414,1443.94,911.051,1530.27,1006.9,1385.39
4.415,1444.28,911.257,1530.62,1007.13,1385.71
4.416,1444.61,911.463,1530.97,1007.36,1386.02
4.417,1444.94,911.67,1531.31,1007.59,1386.34
4.418,1445.28,911.876,1531.66,1007.82,1386.65
4.419,1445.61,912.083,1532.01,1008.05,1386.96
4.42,1445.95,912.289,1532.35,1008.27,1387.28
4.421,1446.28,912.495,1532.7,1008.5,1387.59
4.422,1446.61,912.702,1533.05,1008.73,1387.91
4.423,1446.95,912.908,1533.39,1008.96,1388.22
4.424,1447.28,913.115,1533.74,1009.19,1388.54
4.425,1447.61,913.321,1534.09,1009.41,1388.85
4.426,1447.95,913.527,1534.43,1009.64,1389.16
4.427,1448.28,913.734,1534.78,1009.87,1389.48
4.428,1448.61,913.94,1535.13,1010.1,1389.79
4.429,1448.95,914.147,1535.47,1010.33,1390.11
4.43,1449.28,914.353,1535.82,1010.55,1390.42
4.431,1449.62,914.559,1536.17,1010.78,1390.73
4.432,1449.95,914.766,1536.51,1011.01,1391.05
4.433,1450.28,914.972,1536.86,1011.24,1391.36
4.434,1450.62,915.179,1537.21,1011.47,1391.68
4.435,1450.95,915.385,1537.55,1011.7,1391.99
4.436,1451.28,915.591,1537.9,1011.92,1392.31
4.437,1451.62,915.798,1538.25,1012.15,1392.62
4.438,1451.95,916.004,1538.59,1012.38,1392.93
4.439,1452.29,916.211,1538.94,1012.61,1393.25
4.44,1452.62,916.417,1539.29,1012.84,1393.56
4.441,1452.95,916.623,1539.63,1013.06,1393.88
4.442,1453.29,916.83,1539.98,1013.29,1394.19
4.443,1453.62,917.036,1540.33,1013.52,1394.51
4.444,1453.95,917.243,1540.67,1013.75,1394.82
4.445,1454.29,917.449,1541.02,1013.98,1395.13
4.446,1454.62,917.655,1541.37,1014.2,1395.45
4.447,1454.96,917.862,1541.71,1014.43,1395.76
4.448,1455.29,918.068,1542.06,1014.66,1396.08
4.449,1455.62,918.275,1542.41,1014.89,1396.39
4.45,1455.96,918.481,1542.75,1015.12,1396.7
4.451,1456.29,918.687,1543.1,1015.35,1397.02
4.452,1456.62,918.894,1543.45,1015.57,1397.33
4.453,1456.96,919.1,1543.79,1015.8,1397.65
4.454,1457.29,919.307,1544.14,1016.03,1397.96
4.455,1457.63,919.513,1544.49,1016.26,1398.28
4.456,1457.96,919.719,1544.83,1016.49,1398.59
4.457,1458.29,919.926,1545.18,1016.71,1398.9
4.458,1458.63,920.132,1545.53,1016.94,1399.22
4.459,1458.96,920.339,1545.87,1017.17,1399.53
4.46,1459.3,920.545,1546.22,1017.4,1399.85
4.461,1459.63,920.751,1546.57,1017.63,1400.16
4.462,1459.96,920.958,1546.91,1017.85,1400.47
4.463,1460.3,921.164,1547.26,1018.08,1400.79
4.464,1460.63,921.371,1547.61,1018.31,1401.1
4.465,1460.96,921.577,1547.95,1018.54,1401.42
4.466,1461.3,921.783,1548.3,1018.77,1401.73
4.467,1461.63,921.99,1548.65,1019.0,1402.05
4.468,1461.97,922.196,1548.99,1019.22,1402.36
4.469,1462.3,922.403,1549.34,1019.45,1402.67
4.47,1462.63,922.609,1549.69,1019.68,1402.99
4.471,1462.97,922.815,1550.03,1019.91,1403.3
4.472,1463.3,923.022,1550.38,1020.14,1403.62
4.473,1463.64,923.228,1550.73,1020.36,1403.93
4.474,1463.97,923.435,1551.07,1020.59,1404.24
4.475,1464.3,923.641,1551.42,1020.82,1404.56
4.476,1464.64,923.847,1551.77,1021.05,1404.87
4.477,1464.97,924.054,1552.11,1021.28,1405.19
4.478,1465.31,924.26,1552.46,1021.5,1405.5
4.479,1465.64,924.467,1552.81,1021.73,1405.82
4.48,1465.97,924.673,1553.15,1021.96,1406.13
4.481,1466.31,924.879,1553.5,1022.19,1406.44
4.482,1466.64,925.086,1553.85,1022.42,1406.76
4.483,1466.98,925.292,1554.19,1022.64,1407.07
4.484,1467.31,925.499,1554.54,1022.87,1407.39
4.485,1467.64,925.705,1554.89,1023.1,1407.7
4.486,1467.98,925.911,1555.23,1023.33,1408.01
4.487,1468.31,926.118,1555.58,1023.56,1408.33
4.488,1468.65,926.324,1555.93,1023.79,1408.64
4.489,1468.98,926.531,1556.27,1024.01,1408.96
4.49,1469.31,926.737,1556.62,1024.24,1409.27
4.491,1469.65,926.943,1556.97,1024.47,1409.59
4.492,1469.98,927.15,1557.31,1024.7,1409.9
4.493,1470.32,927.356,1557.66,1024.93,1410.21
4.494,1470.65,927.563,1558.01,1025.15,1410.53
4.495,1470.98,927.769,1558.35,1025.38,1410.84
4.496,1471.32,927.975,1558.7,1025.61,1411.16
4.497,1471.65,928.182,1559.05,1025.84,1411.47
4.498,1471.99,928.388,1559.39,1026.07,1411.79
4.499,1472.32,928.595,1559.74,1026.29,1412.1
4.5,1472.65,928.801,1560.09,1026.52,1412.41
4.501,1472.99,929.007,1560.43,1026.75,1412.73
4.502,1473.32,929.214,1560.78,1026.98,1413.04
4.503,1473.66,929.42,1561.13,1027.21,1413.36
4.504,1473.99,929.627,1561.47,1027.44,1413.67
4.505,1474.33,929.833,1561.82,1027.66,1413.98
4.506,1474.66,930.039,1562.17,1027.89,1414.3
4.507,1474.99,930.246,1562.51,1028.12,1414.61
4.508,1475.33,930.452,1562.86,1028.35,1414.93
4.509,1475.66,930.659,1563.21,1028.58,1415.24
4.51,1476.0,930.865,1563.55,1028.8,1415.56
4.511,1476.33,931.071,1563.9,1029.03,1415.87
4.512,1476.66,931.278,1564.25,1029.26,1416.18
4.513,1477.0,931.484,1564.59,1029.49,1416.5
4.514,1477.33,931.691,1564.94,1029.72,1416.81
4.515,1477.67,931.897,1565.29,1029.94,1417.13
4.516,1478.0,932.103,1565.63,1030.17,1417.44
4.517,1478.34,932.31,1565.98,1030.4,1417.75
4.518,1478.67,932.516,1566.33,1030.63,1418.07
4.519,1479.0,932.723,1566.67,1030.86,1418.38
4.52,1479.34,932.929,1567.02,1031.09,1418.7
4.521,1479.67,933.135,1567.37,1031.31,1419.01
4.522,1480.01,933.342,1567.71,1031.54,1419.33
4.523,1480.34,933.548,1568.06,1031.77,1419.64
4.524,1480.67,933.755,1568.41,1032.0,1419.95
4.525,1481.01,933.961,1568.75,1032.23,1420.27
4.526,1481.34,934.167,1569.1,1032.45,1420.58
4.527,1481.68,934.374,1569.45,1032.68,1420.9
4.528,1482.01,934.58,1569.79,1032.91,1421.21
4.529,1482.35,934.787,1570.14,1033.14,1421.52
4.53,1482.68,934.993,1570.49,1033.37,1421.84
4.531,1483.01,935.199,1570.83,1033.59,1422.15
4.532,1483.35,935.406,1571.18,1033.82,1422.47
4.533,1483.68,935.612,1571.53,1034.05,1422.78
4.534,1484.02,935.819,1571.87,1034.28,1423.1
4.535,1484.35,936.025,1572.22,1034.51,1423.41
4.536,1484.69,936.231,1572.57,1034.74,1423.72
4.537,1485.02,936.438,1572.91,1034.96,1424.04
4.538,1485.35,936.644,1573.26,1035.19,1424.35
4.539,1485.69,936.851,1573.61,1035.42,1424.67
4.54,1486.02,937.057,1573.95,1035.65,1424.98
4.541,1486.36,937.263,1574.3,1035.88,1425.3
4.542,1486.69,937.47,1574.65,1036.1,1425.61
4.543,1487.03,937.676,1574.99,1036.33,1425.92
4.544,1487.36,937.883,1575.34,1036.56,1426.24
4.545,1487.7,938.089,1575.69,1036.79,1426.55
4.546,1488.03,938.295,1576.03,1037.02,1426.87
4.547,1488.36,938.502,1576.38,1037.24,1427.18
4.548,1488.7,938.708,1576.73,1037.47,1427.49
4.549,1489.03,938.915,1577.07,1037.7,1427.81
4.55,1489.37,939.121,1577.42,1037.93,1428.12
4.551,1489.7,939.327,1577.77,1038.16,1428.44
4.552,1490.04,939.534,1578.11,1038.39,1428.75
4.553,1490.37,939.74,1578.46,1038.61,1429.07
4.554,1490.7,939.947,1578.81,1038.84,1429.38
4.555,1491.04,940.153,1579.15,1039.07,1429.69
4.556,1491.37,940.359,1579.5,1039.3,1430.01
4.557,1491.71,940.566,1579.85,1039.53,1430.32
4.558,1492.04,940.772,1580.19,1039.75,1430.64
4.559,1492.38,940.979,1580.54,1039.98,1430.95
4.56,1492.71,941.185,1580.89,1040.21,1431.26
4.561,1493.05,941.391,1581.23,1040.44,1431.58
4.562,1493.38,941.598,1581.58,1040.67,1431.89
4.563,1493.71,941.804,1581.93,1040.89,1432.21
4.564,1494.05,942.011,1582.27,1041.12,1432.52
4.565,1494.38,942.217,1582.62,1041.35,1432.84
4.566,1494.72,942.423,1582.97,1041.58,1433.15
4.567,1495.05,942.63,1583.32,1041.81,1433.46
4.568,1495.39,942.836,1583.66,1042.03,1433.78
4.569,1495.72,943.043,1584.01,1042.26,1434.09
4.57,1496.06,943.249,1584.36,1042.49,1434.41
4.571,1496.39,943.455,1584.7,1042.72,1434.72
4.572,1496.73,943.662,1585.05,1042.95,1435.03
4.573,1497.06,943.868,1585.4,1043.18,1435.35
4.574,1497.39,944.075,1585.74,1043.4,1435.66
4.575,1497.73,944.281,1586.09,1043.63,1435.98
4.576,1498.06,944.487,1586.44,1043.86,1436.29
4.577,1498.4,944.694,1586.78,1044.09,1436.61
4.578,1498.73,944.9,1587.13,1044.32,1436.92
4.579,1499.07,945.107,1587.48,1044.54,1437.23
4.58,1499.4,945.313,1587.82,1044.77,1437.55
4.581,1499.74,945.519,1588.17,1045.0,1437.86
4.582,1500.07,945.726,1588.52,1045.23,1438.18
4.583,1500.41,945.932,1588.86,1045.46,1438.49
4.584,1500.74,946.139,1589.21,1045.68,1438.81
4.585,1501.07,946.345,1589.56,1045.91,1439.12
4.586,1501.41,946.551,1589.9,1046.14,1439.43
4.587,1501.74,946.758,1590.25,1046.37,1439.75
4.588,1502.08,946.964,1590.6,1046.6,1440.06
4.589,1502.41,947.171,1590.94,1046.83,1440.38
4.59,1502.75,947.377,1591.29,1047.05,1440.69
4.591,1503.08,947.583,1591.64,1047.28,1441.0
4.592,1503.42,947.79,1591.98,1047.51,1441.32
4.593,1503.75,947.996,1592.33,1047.74,1441.63
4.594,1504.09,948.203,1592.68,1047.97,1441.95
4.595,1504.42,948.409,1593.02,1048.19,1442.26
4.596,1504.76,948.615,1593.37,1048.42,1442.58
4.597,1505.09,948.822,1593.72,1048.65,1442.89
4.598,1505.43,949.028,1594.06,1048.88,1443.2
4.599,1505.76,949.235,1594.41,1049.11,1443.52
4.6,1506.09,949.441,1594.76,1049.33,1443.83
4.601,1506.43,949.647,1595.1,1049.56,1444.15
4.602,1506.76,949.854,1595.45,1049.79,1444.46
4.603,1507.1,950.06,1595.8,1050.02,1444.77
