#List of Combined H(e,e'p) runs based on Kinematics on which HMS set to negative polarity
#List of individual H(e,e'p) runs with the HMS set to negative polarity.
#The kinematic_groups are based on specific kinematics, whether it is ONLY one run or NOT. The kin_group header will be used as base name in SIMC.

#The NMR True value was obtained from EPICS, and a corresponding Momentum was determined using a version of the field03, getHMS and getSHMS codes.
#Runs Dated Dec.2017/Sping2018
#ideal_P is the momentum required for elastics, given the angle and beam_e

#This file includes the necessary SHMS Angle/Momentum kinematics for SIMC. 
#If kin_group is singles, then get_elastics.C must be used to get the corresponding SHMS Angle/Momentum for elastics in order to input it on SIMC.

#UNITS: nmt_true [T],   nmr_P[GeV],  angle[deg], beam_e[GeV], ideal_P[GeV],  W_mean[GeV], W_mean_err[GeV],  W_sigma[GeV]

#Useful Comments for Mark Jones -----> dW_meas[f,15]/     dW_meas_err[f,16]        dW_dkf[f,17]                  dkf[f,18]/             dkf_kf[f,19]/      kf_corr_factor[f,20]/     kf_corr[f,21]/
#                                    (W_simc-W_data)     (err in W_simc-W_data)    ( dW / dE', E' is momentum)     (dE')                  (dE' / E')       (momentum corr factor)      (E'_corr = nmr_P * kf_corr_factor)

#! kin_group[s,0]/    Run[i,1]/   	nmr_true[f,2]/	     nmr_P[f,3]/      hms_Angle[f,4]/   shms_P[f,5]/    shms_Angle[f,6]/   beam_e[f,7]/    data_W_mean[f,8]/   data_W_mean_err[f,9]/    data_W_sigma[f,10]/       simc_W_mean[f,11]/       simc_W_mean_err[f,12]/       simc_W_sigma[f,13]/           comments[s,14]/		             dW_meas[f,15]/     dW_meas_err[f,16]/        dW_dkf[f,17]/            dkf[f,18]/             dkf_kf[f,19]/      kf_corr_factor[f,20]/     kf_corr[f,21]/	   
*   g10_coin	      1929		0.786085	     2.8714	      35.0	    	4.38   	    	22.049		    6.430	   0.915	       0.0004			0.02101	      	   	   0.943548      	   7.87811e-05       		0.0187077       	      coin				     0.02855 		 0.00041 		 -2.23933 		 -0.01275 		 -0.00444 		 0.99556 		 2.85865 	
   g11_coin	      3188		1.52247		     5.5422	      23.189 	    	5.925       	21.595		    10.58794	   0.860	       0.0011			0.0392	      	   	   0.944826      	   0.000134214       		0.0279259       	      coin				     0.08483 		 0.00111 		 -1.91042 		 -0.0444 		 -0.00801 		 0.99199 		 5.4978         

















































